image_url,local_image_path,description
https://cdn.create.vista.com/api/media/small/437811054/stock-photo-mature-investor-using-digital-tablet-businesswoman-notebook-office-banner,"/teamspace/studios/this_studio/business_images/Mature investor using digital tablet near businesswoman with notebook in office, banner.jpg","Mature investor using digital tablet near businesswoman with notebook in office, banner"
https://cdn.create.vista.com/api/media/small/47629115/stock-photo-business-document-and-pen,/teamspace/studios/this_studio/business_images/Close-up of business document and pen at workplace on background of office workers interacting.jpg,Close-up of business document and pen at workplace on background of office workers interacting
https://cdn.create.vista.com/api/media/small/160064064/stock-photo-businessmen-shaking-hands,/teamspace/studios/this_studio/business_images/Multiethnic smiling businessmen shaking hands at meeting at workplace with laptop.jpg,Multiethnic smiling businessmen shaking hands at meeting at workplace with laptop
https://cdn.create.vista.com/api/media/small/120846980/stock-photo-businessman-using-tablet,"/teamspace/studios/this_studio/business_images/Double exposure of businessman using the tablet with cityscape and financial graph on blurred building with world map and mail background, Elements of this image furnished by NASA.jpg","Double exposure of businessman using the tablet with cityscape and financial graph on blurred building with world map and mail background, Elements of this image furnished by NASA"
https://cdn.create.vista.com/api/media/small/220948740/stock-photo-happy-young-business-colleagues-working-gadgets-smiling-camera-office,/teamspace/studios/this_studio/business_images/Happy young business colleagues working with gadgets and smiling at camera in office.jpg,Happy young business colleagues working with gadgets and smiling at camera in office
https://cdn.create.vista.com/api/media/small/35269969/stock-photo-explaining-idea,/teamspace/studios/this_studio/business_images/Image of two young businessmen using touchpad at meeting.jpg,Image of two young businessmen using touchpad at meeting
https://cdn.create.vista.com/api/media/small/151403114/stock-photo-businesspeople-discussing-and-brainstorming,/teamspace/studios/this_studio/business_images/Overhead view of professional businesspeople discussing and brainstorming together on workplace in office.jpg,Overhead view of professional businesspeople discussing and brainstorming together on workplace in office
https://cdn.create.vista.com/api/media/small/25081731/stock-photo-reflective-skyscrapers-business-office-buildings,/teamspace/studios/this_studio/business_images/Low angle shot of modern glass city buildings with clear sky background..jpg,Low angle shot of modern glass city buildings with clear sky background.
https://cdn.create.vista.com/api/media/small/183377518/stock-photo-business,/teamspace/studios/this_studio/business_images/Multiethnic businessmen discussing new business strategy on meeting in office.jpg,Multiethnic businessmen discussing new business strategy on meeting in office
https://cdn.create.vista.com/api/media/small/443044796/stock-photo-panoramic-and-perspective-view-to-steel-light-blue-background-of-glass-high-rise-building-skyscraper,/teamspace/studios/this_studio/business_images/Panoramic and perspective wide angle view to steel light blue background of glass high rise building skyscraper commercial modern city of future. Business concept of success industry tech architecture.jpg,Panoramic and perspective wide angle view to steel light blue background of glass high rise building skyscraper commercial modern city of future. Business concept of success industry tech architecture
