image_url,local_image_path,description
https://cdn.create.vista.com/api/media/small/182571154/stock-photo-happy-young-multiethnic-friends-smiling-camera,/teamspace/studios/this_studio/friends_images/Happy young multiethnic friends smiling at camera.jpg,Happy young multiethnic friends smiling at camera
https://cdn.create.vista.com/api/media/small/72419547/stock-photo-four-women-outdoors,"/teamspace/studios/this_studio/friends_images/Four girlfriends sitting on a wall outdoors with spring and summer dressware - Women meeting and having fun in a countryside - Concepts about friendship,seasonal,lifestyle and shopping.jpg","Four girlfriends sitting on a wall outdoors with spring and summer dressware - Women meeting and having fun in a countryside - Concepts about friendship,seasonal,lifestyle and shopping"
https://cdn.create.vista.com/api/media/small/127654988/stock-photo-happy-friends-having-fun-in-forest,/teamspace/studios/this_studio/friends_images/Group of young happy friends piggybacking and having fun in autumn forest.jpg,Group of young happy friends piggybacking and having fun in autumn forest
https://cdn.create.vista.com/api/media/small/106363462/stock-photo-young-friends-jumping,/teamspace/studios/this_studio/friends_images/Young friends having fun on the beach and jumping against a backdrop of a sunset over the sea.jpg,Young friends having fun on the beach and jumping against a backdrop of a sunset over the sea
https://cdn.create.vista.com/api/media/small/154087722/stock-photo-smiling-young-women,/teamspace/studios/this_studio/friends_images/Multiethnic group of beautiful smiling young women standing embracing on porch.jpg,Multiethnic group of beautiful smiling young women standing embracing on porch
https://cdn.create.vista.com/api/media/small/272696794/stock-photo-crop-photo-of-group-of-friends-millennials-students-teenagers-sitting-at-city-street-friendship-close,"/teamspace/studios/this_studio/friends_images/Crop photo of group of friends Millennials students teenagers sitting at city street, friendship, close up focus on the feet.jpg","Crop photo of group of friends Millennials students teenagers sitting at city street, friendship, close up focus on the feet"
https://cdn.create.vista.com/api/media/small/159794716/stock-photo-children-stacking-hands,/teamspace/studios/this_studio/friends_images/Cropped shot of children stacking hands while standing on green grass.jpg,Cropped shot of children stacking hands while standing on green grass
https://cdn.create.vista.com/api/media/small/45456081/stock-photo-two-women-having-fun,/teamspace/studios/this_studio/friends_images/Two beautiful young women having fun in the city.jpg,Two beautiful young women having fun in the city
https://cdn.create.vista.com/api/media/small/151110626/stock-photo-teenagers-gesturing-together,"/teamspace/studios/this_studio/friends_images/Close-up partial view of teenagers stacking hands together indoors, teenagers having fun concept.jpg","Close-up partial view of teenagers stacking hands together indoors, teenagers having fun concept"
https://cdn.create.vista.com/api/media/small/21414025/stock-photo-two-teen-woman-friends,/teamspace/studios/this_studio/friends_images/Two teen woman friends having fun and eating ice cream.jpg,Two teen woman friends having fun and eating ice cream
