image_url,local_image_path,description
https://cdn.create.vista.com/api/media/small/166126904/stock-photo-family-taking-selfie-in-airport,/teamspace/studios/this_studio/travel_images/Smiling father and kids taking selfie on smartphone together while waiting for boarding in airport.jpg,Smiling father and kids taking selfie on smartphone together while waiting for boarding in airport
https://cdn.create.vista.com/api/media/small/626790944/stock-photo-airplane-world-atlas-map-thai-language-translation-travel-word-letter,"/teamspace/studios/this_studio/travel_images/Airplane on world atlas map with thai language translation and travel word in letter, traveling concept, vacation, journey, transportation, international, flight,.jpg","Airplane on world atlas map with thai language translation and travel word in letter, traveling concept, vacation, journey, transportation, international, flight,"
https://cdn.create.vista.com/api/media/small/170345206/stock-photo-travel-stuff-on-white-wooden-table,/teamspace/studios/this_studio/travel_images/Top view of travel stuff on a white wooden table. Journey concept.jpg,Top view of travel stuff on a white wooden table. Journey concept
https://cdn.create.vista.com/api/media/small/11378931/stock-photo-lonely-girl-with-suitcase-at-country-road-dreaming-about-travel,/teamspace/studios/this_studio/travel_images/Lonely girl with suitcase at country road dreaming about travel..jpg,Lonely girl with suitcase at country road dreaming about travel.
https://cdn.create.vista.com/api/media/small/223359300/stock-photo-cropped-view-couple-tourists-holding-hands-pulling-luggage,/teamspace/studios/this_studio/travel_images/Cropped view of couple of tourists holding hands and pulling their luggage.jpg,Cropped view of couple of tourists holding hands and pulling their luggage
https://cdn.create.vista.com/api/media/small/12732797/stock-photo-bora-bora-landscape,/teamspace/studios/this_studio/travel_images/Beautiful view of Otemanu mountain on Bora Bora island.jpg,Beautiful view of Otemanu mountain on Bora Bora island
https://cdn.create.vista.com/api/media/small/244782332/stock-photo-top-view-globe-plane-models-travel-bag-passports-tickets-blue,"/teamspace/studios/this_studio/travel_images/Top view of globe and plane models, travel bag and passports with tickets on blue background.jpg","Top view of globe and plane models, travel bag and passports with tickets on blue background"
https://cdn.create.vista.com/api/media/small/4272545/stock-photo-take-off-runway,/teamspace/studios/this_studio/travel_images/Passenger plane fly up over take-off runway from airport at sunset.jpg,Passenger plane fly up over take-off runway from airport at sunset
https://cdn.create.vista.com/api/media/small/152378310/stock-photo-ready-to-summer-vacation,/teamspace/studios/this_studio/travel_images/Top view of open luggage full of woman's clothes and other essential vacation items. Ready to summer vacation.jpg,Top view of open luggage full of woman's clothes and other essential vacation items. Ready to summer vacation
https://cdn.create.vista.com/api/media/small/83027876/stock-photo-hikers-with-map-choosing-route,/teamspace/studios/this_studio/travel_images/Cheerful hikers with map choosing route for travel.jpg,Cheerful hikers with map choosing route for travel
https://cdn.create.vista.com/api/media/small/195702548/stock-photo-young-couple-tourists-smartphone-looking-destination,/teamspace/studios/this_studio/travel_images/Young couple of tourists with smartphone looking for destination.jpg,Young couple of tourists with smartphone looking for destination
https://cdn.create.vista.com/api/media/small/382439598/stock-photo-elegant-woman-sitting-floor-luggage-holding-passport-orange-background,/teamspace/studios/this_studio/travel_images/Elegant woman sitting on the floor near luggage and holding passport over orange background..jpg,Elegant woman sitting on the floor near luggage and holding passport over orange background.
https://cdn.create.vista.com/api/media/small/285873674/stock-photo-blonde-girl-sunglasses-straw-hat-blue-suitcase-isolated-blue-next,/teamspace/studios/this_studio/travel_images/Blonde girl in sunglasses and straw hat near blue suitcase isolated on blue with where to next question.jpg,Blonde girl in sunglasses and straw hat near blue suitcase isolated on blue with where to next question
https://cdn.create.vista.com/api/media/small/255802034/stock-photo-items-accessories-traveler-old-background-table,/teamspace/studios/this_studio/travel_images/Items and accessories for the traveler on the old background on the table.jpg,Items and accessories for the traveler on the old background on the table
https://cdn.create.vista.com/api/media/small/189867964/stock-photo-travel,"/teamspace/studios/this_studio/travel_images/Empty asphalt road, snow-covered mountains and gulf in iceland.jpg","Empty asphalt road, snow-covered mountains and gulf in iceland"
