image_url,local_image_path,description
https://cdn.create.vista.com/api/media/small/172824664/stock-photo-happy-birthday-sign-surrounded-with-confetti,/teamspace/studios/this_studio/birthday_images/Top view of happy birthday sign surrounded with confetti isolated on blue.jpg,Top view of happy birthday sign surrounded with confetti isolated on blue
https://cdn.create.vista.com/api/media/small/68317247/stock-photo-cupcake-with-sparkler-on-blue,/teamspace/studios/this_studio/birthday_images/Cupcake with sparkler against a blue background.jpg,Cupcake with sparkler against a blue background
https://cdn.create.vista.com/api/media/small/321533874/stock-photo-cropped-view-smiling-pretty-girl-white-sweater-presenting-gift-box,/teamspace/studios/this_studio/birthday_images/Cropped view of smiling pretty girl in white sweater presenting gift box isolated on blue.jpg,Cropped view of smiling pretty girl in white sweater presenting gift box isolated on blue
https://cdn.create.vista.com/api/media/small/101586684/stock-photo-birthday-cupcake-with-sparkler,/teamspace/studios/this_studio/birthday_images/Chocolate cupcake with a sparkler.jpg,Chocolate cupcake with a sparkler
https://cdn.create.vista.com/api/media/small/270644702/stock-photo-colorful-blue-purple-white-balloons-isolated-white,"/teamspace/studios/this_studio/birthday_images/Colorful blue, purple and white balloons isolated on white.jpg","Colorful blue, purple and white balloons isolated on white"
https://cdn.create.vista.com/api/media/small/70954837/stock-photo-birthday-sparkler-cupcake,/teamspace/studios/this_studio/birthday_images/Cupcake with sprinkles and  a sparkler over a blue background..jpg,Cupcake with sprinkles and  a sparkler over a blue background.
https://cdn.create.vista.com/api/media/small/226083358/stock-photo-delicious-birthday-cake-gifts-party-hats-confetti-blue-background-bunting,"/teamspace/studios/this_studio/birthday_images/Delicious birthday cake, gifts, party hats and confetti on blue background with bunting.jpg","Delicious birthday cake, gifts, party hats and confetti on blue background with bunting"
https://cdn.create.vista.com/api/media/small/282744180/stock-photo-colorful-birthday-party-flat-lay-background,/teamspace/studios/this_studio/birthday_images/Colorful birthday party flat lay background with copyspace.jpg,Colorful birthday party flat lay background with copyspace
https://cdn.create.vista.com/api/media/small/226083298/stock-photo-partial-view-woman-holding-birthday-cake-candles-blue-background-confetti,/teamspace/studios/this_studio/birthday_images/Partial view of woman holding birthday cake with candles on blue background with confetti.jpg,Partial view of woman holding birthday cake with candles on blue background with confetti
https://cdn.create.vista.com/api/media/small/190809464/stock-photo-set-pink-golden-glossy-balloons-stick-sparkles-white-background-render,"/teamspace/studios/this_studio/birthday_images/Set of pink and golden glossy balloons on the stick with sparkles on white background. 3D render for birthday, party, wedding or promotion banners or posters. Vibrant and realistic illustration..jpg","Set of pink and golden glossy balloons on the stick with sparkles on white background. 3D render for birthday, party, wedding or promotion banners or posters. Vibrant and realistic illustration."
https://cdn.create.vista.com/api/media/small/162040602/stock-photo-multiethnic-kids-with-birthday-presents,/teamspace/studios/this_studio/birthday_images/Adorable smiling girl holding birthday presents while friends having fun behind.jpg,Adorable smiling girl holding birthday presents while friends having fun behind
https://cdn.create.vista.com/api/media/small/88558690/stock-photo-cupcake-with-sparkler,/teamspace/studios/this_studio/birthday_images/Cupcake with sparkler against blue.jpg,Cupcake with sparkler against blue
https://cdn.create.vista.com/api/media/small/226082810/stock-photo-partial-view-woman-lighting-candles-birthday-cake-blue-background,/teamspace/studios/this_studio/birthday_images/Partial view of woman lighting candles on birthday cake on blue background.jpg,Partial view of woman lighting candles on birthday cake on blue background
https://cdn.create.vista.com/api/media/small/297073282/stock-photo-birthday-cake-with-colorful-candles,/teamspace/studios/this_studio/birthday_images/Birthday cake with colorful candles spelling happy birthday.jpg,Birthday cake with colorful candles spelling happy birthday
