image_url,local_image_path,description
https://cdn.create.vista.com/api/media/small/181595045/stock-photo-young-sporty-woman-doing-side-crunches-yoga-mat-gym,/teamspace/studios/this_studio/fitness_images/Young sporty woman doing side crunches on yoga mat at gym.jpg,Young sporty woman doing side crunches on yoga mat at gym
https://cdn.create.vista.com/api/media/small/100114318/stock-photo-people-in-gym,/teamspace/studios/this_studio/fitness_images/Attractive young muscular people working out with dumbbells in gym.jpg,Attractive young muscular people working out with dumbbells in gym
https://cdn.create.vista.com/api/media/small/285244022/stock-photo-smiling-mature-sportswoman-looking-away-while-listening-music-earphones,/teamspace/studios/this_studio/fitness_images/Smiling mature sportswoman looking away while listening music in earphones.jpg,Smiling mature sportswoman looking away while listening music in earphones
https://cdn.create.vista.com/api/media/small/51076827/stock-photo-fitness-with-dumbbells,/teamspace/studios/this_studio/fitness_images/Brutal athletic woman pumping up muscles with dumbbells.jpg,Brutal athletic woman pumping up muscles with dumbbells
https://cdn.create.vista.com/api/media/small/153038240/stock-photo-group-of-sportive-people-in-gym,/teamspace/studios/this_studio/fitness_images/Side view of group of sportive people near trx equipment in gym.jpg,Side view of group of sportive people near trx equipment in gym
https://cdn.create.vista.com/api/media/small/76223801/stock-photo-woman-runner-stretching-legs,/teamspace/studios/this_studio/fitness_images/Young fitness woman stretching legs before running.jpg,Young fitness woman stretching legs before running
https://cdn.create.vista.com/api/media/small/153033922/stock-photo-sporty-people-exercising-in-gym,"/teamspace/studios/this_studio/fitness_images/Group of athletic young people in sportswear doing lunge exercise at the gym, aerobic fitness concept.jpg","Group of athletic young people in sportswear doing lunge exercise at the gym, aerobic fitness concept"
https://cdn.create.vista.com/api/media/small/40111699/stock-photo-fitness-with-dumbbells,/teamspace/studios/this_studio/fitness_images/Smiling athletic woman pumping up muscules with dumbbells and stretching legs.jpg,Smiling athletic woman pumping up muscules with dumbbells and stretching legs
https://cdn.create.vista.com/api/media/small/153032606/stock-photo-sporty-people-exercising-in-gym,"/teamspace/studios/this_studio/fitness_images/Group of athletic  people in sportswear doing push ups or plank at the gym, group fitness concept.jpg","Group of athletic  people in sportswear doing push ups or plank at the gym, group fitness concept"
https://cdn.create.vista.com/api/media/small/28423537/stock-photo-running-woman,/teamspace/studios/this_studio/fitness_images/Healthy running runner woman early morning sunrise workout on misty mountain road workout jog. sunflare through the mist gives atmospheric feel and depth to these fitness images.jpg,Healthy running runner woman early morning sunrise workout on misty mountain road workout jog. sunflare through the mist gives atmospheric feel and depth to these fitness images
https://cdn.create.vista.com/api/media/small/149693556/stock-photo-sportswoman-training-with-dumbbells,/teamspace/studios/this_studio/fitness_images/Young fitness woman training with dumbbells and lying on mat.jpg,Young fitness woman training with dumbbells and lying on mat
